nameLast,nameFirst,playerID,Age,year,reliability,mPA,mAB,mR,mH,m2B,m3B,mHR,mRBI,mSB,mCS,mBB,mSO,mIBB,mHBP,mSH,mSF,mGIDP
Bradley,Milton,bradlmi01,28,2006,0.82,417,365,55,104,21,1,13,48,10,5,44,72,3,4,2,2,9
Burrell,Pat,burrepa01,30,2006,0.86,588,505,66,129,25,2,24,85,2,0,76,134,5,3,0,4,13
Cantu,Jorge,cantujo01,24,2006,0.76,534,498,66,146,37,2,19,85,2,1,25,79,1,5,1,5,17
Casey,Sean,caseyse01,32,2006,0.86,557,505,72,152,29,1,14,68,3,0,43,49,3,5,0,4,19
Chavez,Eric,chaveer01,29,2006,0.87,605,535,83,146,31,2,24,84,6,2,63,101,6,2,0,5,14
Clark,Tony,clarkto02,34,2006,0.77,425,381,50,99,21,1,24,72,1,1,37,102,4,2,1,4,11
Duffy,Chris,duffych01,26,2006,0.36,268,242,37,73,11,2,6,27,4,2,20,42,1,3,2,1,4
Durazo,Erubiel,durazer01,32,2006,0.81,341,300,43,83,17,1,11,42,2,1,36,57,4,3,0,2,7
Floyd,Cliff,floydcl01,34,2006,0.84,559,490,70,131,26,2,24,79,10,2,55,98,7,9,1,4,9
Gonzalez,Luis,gonzalu01,39,2006,0.86,581,503,76,134,33,2,20,69,4,2,69,76,10,6,0,3,14
Guillen,Carlos,guillca01,31,2006,0.82,439,395,62,118,22,5,10,51,6,4,37,63,3,2,2,3,10
Guillen,Jose,guilljo01,30,2006,0.86,568,515,76,148,28,2,23,80,3,2,32,92,4,14,2,5,14
Jenkins,Geoff,jenkige01,32,2006,0.86,577,515,76,142,33,3,22,80,2,1,47,123,8,11,0,4,14
Jeter,Derek,jeterde01,32,2006,0.87,648,574,98,171,30,3,17,64,14,4,53,98,2,11,8,2,15
Jones,Andruw,jonesan01,29,2006,0.87,601,533,82,142,26,3,33,97,5,4,56,112,7,7,0,5,18
Kent,Jeff,kentje01,38,2006,0.86,579,517,83,144,33,3,23,90,6,2,50,88,4,6,0,6,18
Konerko,Paul,konerpa01,30,2006,0.86,596,525,76,141,22,0,30,89,1,0,62,91,7,5,0,4,18
Lee,Carlos,leeca01,30,2006,0.87,610,553,83,155,34,1,26,93,12,4,46,81,4,4,0,7,11
Lopez,Javy,lopezja01,36,2006,0.84,475,437,61,128,25,2,20,66,1,1,30,78,3,5,0,3,11
Martinez,Victor,martivi01,28,2006,0.83,570,504,68,147,31,1,18,80,2,1,54,72,7,5,1,6,16
Matsui,Hideki,matsuhi01,32,2006,0.87,620,551,87,160,35,2,20,93,3,1,60,82,4,3,0,6,15
Mauer,Joe,mauerjo01,23,2006,0.73,489,431,59,130,25,2,12,55,10,1,51,60,8,2,1,4,8
Mench,Kevin,menchke01,28,2006,0.82,556,502,69,138,32,3,22,69,3,2,43,69,3,6,1,4,7
Michaels,Jason,michaja01,30,2006,0.74,406,352,56,101,19,1,9,43,3,3,45,69,2,4,1,4,5
Mueller,Bill,muellbi02,35,2006,0.85,541,477,70,138,32,3,13,63,2,2,52,72,2,5,1,6,14
Ordonez,Magglio,ordonma01,32,2006,0.79,394,355,50,105,21,1,13,54,3,2,32,46,2,3,0,4,10
Overbay,Lyle,overbly01,29,2006,0.85,578,504,69,142,37,1,15,68,2,1,66,102,7,3,1,4,13
Piedra,Jorge,piedrjo01,27,2006,0.46,272,245,37,71,16,1,9,32,3,2,21,41,1,3,1,2,5
Posada,Jorge,posadjo01,35,2006,0.85,528,451,66,119,24,0,19,73,2,2,68,92,4,6,0,3,14
Rivera,Rene,riverre01,23,2006,0.18,225,203,26,61,12,1,6,27,3,1,17,37,1,2,2,1,4
Shealy,Ryan,shealry01,27,2006,0.3,252,224,32,65,14,1,6,33,3,1,24,44,1,2,1,1,8
Shelton,Chris,sheltch01,26,2006,0.66,421,375,57,108,21,2,15,53,2,1,37,79,1,4,1,4,11
Sizemore,Grady,sizemgr01,24,2006,0.78,569,511,83,147,29,7,17,70,15,6,45,101,1,7,3,3,11
Sweeney,Mike,sweenmi01,33,2006,0.83,502,452,61,129,29,1,19,79,4,2,41,61,6,4,1,4,13
Tejada,Miguel,tejadmi01,30,2006,0.88,624,569,83,168,38,2,24,97,6,1,41,70,6,7,0,7,19
Varitek,Jason,varitja01,34,2006,0.84,523,458,64,126,29,1,19,69,5,2,54,111,5,6,2,3,11
Wells,Vernon,wellsve01,28,2006,0.87,598,546,79,155,32,3,23,81,7,2,43,77,2,4,0,5,15
Wilkerson,Brad,wilkebr01,29,2006,0.87,599,510,79,131,35,4,18,60,10,7,78,131,5,5,3,3,6
Wilson,Craig,wilsocr03,30,2006,0.8,383,333,49,87,20,3,14,45,3,1,34,93,2,14,0,2,8
Beltre,Adrian,beltrad01,27,2006,0.87,591,542,70,152,31,1,25,86,4,2,40,90,5,4,1,4,13
Branyan,Russell,branyru01,31,2006,0.68,339,294,37,73,17,1,14,43,2,1,40,97,5,2,1,2,4
Brown,Emil,brownem01,32,2006,0.72,504,452,61,126,25,4,14,67,8,1,40,88,2,6,1,5,11
Bynum,Freddie,bynumfr01,26,2006,0.03,204,183,25,50,11,1,6,24,3,1,17,34,1,2,1,1,4
Cano,Robinson,canoro01,24,2006,0.7,476,443,67,132,28,3,13,56,3,3,22,62,2,3,5,3,12
Catalanotto,Frank,catalfr01,32,2006,0.81,465,418,57,121,28,4,8,52,2,2,33,58,1,7,3,4,10
Cedeno,Ronny,cedenro02,23,2006,0.27,244,218,33,63,11,1,6,26,3,1,19,35,2,3,3,1,7
Choi,Hee Seop,choihe01,27,2006,0.78,426,366,51,93,21,2,15,48,2,2,49,91,3,6,2,3,8
Cruz,Nelson,cruzne02,26,2006,0.03,204,181,26,49,11,1,6,23,3,1,19,31,1,2,1,1,4
Cust,Jack,custja01,27,2006,0.18,200,178,23,48,11,1,6,24,2,1,18,37,1,2,1,1,3
Damon,Johnny,damonjo01,33,2006,0.87,614,551,96,161,30,5,12,69,17,4,54,68,2,2,2,5,6
DeJesus,David,dejesda01,27,2006,0.78,503,443,66,128,25,5,10,53,7,7,41,71,1,9,6,4,7
Dellucci,David,delluda01,33,2006,0.8,498,430,76,105,19,4,20,62,9,3,58,109,2,6,1,3,8
Denorfia,Chris,denorch01,26,2006,0.15,222,197,30,54,12,1,6,24,4,1,21,36,1,2,1,1,5
Diaz,Victor,diazvi01,25,2006,0.6,362,324,48,88,19,3,13,45,6,2,32,78,5,3,1,2,12
Durham,Ray,durhara01,35,2006,0.84,534,472,71,131,30,4,13,55,7,4,49,69,2,5,3,5,11
Ellis,Mark,ellisma01,29,2006,0.78,443,396,61,112,21,4,10,44,3,2,37,59,2,4,4,2,8
Fielder,Prince,fieldpr01,22,2006,0.21,231,208,25,59,12,1,7,30,3,1,18,41,1,2,1,2,4
Fontenot,Mike,fontemi01,26,2006,0.02,202,179,28,48,10,1,6,23,3,1,18,31,1,3,1,1,4
Ford,Lew,fordle01,30,2006,0.83,561,494,71,138,28,4,11,58,13,4,48,75,2,12,2,5,11
Garciaparra,Nomar,garcino01,33,2006,0.8,359,327,50,95,19,3,11,45,5,2,22,37,1,5,1,4,8
Garko,Ryan,garkory01,25,2006,0,200,179,25,49,10,1,6,24,3,1,17,32,1,2,1,1,4
Granderson,Curtis,grandcu01,25,2006,0.45,290,263,33,72,13,3,10,33,3,2,22,57,1,2,2,1,5
Greenberg,Adam,greenad01,25,2006,0,200,178,25,49,10,1,6,24,3,1,17,31,1,3,1,1,4
Green,Shawn,greensh01,34,2006,0.87,595,529,75,143,32,2,19,69,6,3,56,95,4,5,0,5,16
Gutierrez,Franklin,gutiefr01,23,2006,0.01,201,179,27,50,10,1,6,24,3,1,18,31,1,2,1,1,4
Huff,Aubrey,huffau01,30,2006,0.87,585,529,71,149,28,2,22,84,5,3,45,74,9,5,0,6,12
Jacobsen,Bucky,jacobbu02,31,2006,0.37,218,197,24,53,11,1,8,28,2,1,17,43,1,2,1,1,4
Johnson,Dan,johnsda06,27,2006,0.64,417,364,52,101,20,1,14,54,2,1,44,55,2,2,1,6,10
Kearns,Austin,kearnau01,26,2006,0.78,449,392,57,100,22,2,17,65,3,1,47,98,2,6,1,3,10
Klesko,Ryan,kleskry01,35,2006,0.83,508,435,57,112,24,1,15,62,4,4,66,80,4,2,1,4,9
Kubel,Jason,kubelja01,24,2006,0.18,207,184,27,52,10,1,6,24,3,2,18,31,1,2,1,2,4
Lane,Jason,laneja01,30,2006,0.75,496,452,60,121,29,4,20,66,5,2,34,90,1,5,1,4,9
Langerhans,Ryan,langery01,26,2006,0.61,386,340,50,93,21,3,9,44,2,2,36,71,3,5,2,3,5
Lopez,Felipe,lopezfe01,26,2006,0.81,554,494,76,135,29,4,16,64,11,5,50,107,2,3,3,4,7
Lopez,Pedro,lopezpe01,22,2006,0.03,204,182,26,51,10,1,6,26,3,1,17,31,1,2,2,1,4
Loretta,Mark,loretma01,35,2006,0.86,502,445,63,133,24,2,9,50,5,3,42,44,3,6,3,6,11
Machado,Alejandro,machaal01,24,2006,0.02,203,181,28,50,11,1,6,24,3,1,18,31,1,2,1,1,4
Mathis,Jeff,mathije01,23,2006,0.01,202,181,26,50,10,1,6,24,3,1,17,32,1,2,1,1,4
Millar,Kevin,millake01,35,2006,0.85,518,456,61,124,28,1,14,61,2,1,48,82,1,8,0,6,13
Navarro,Dioner,navardi01,22,2006,0.46,300,266,37,76,15,1,7,30,2,1,28,38,2,3,2,1,6
Paulino,Ronny,pauliro01,25,2006,0.02,202,180,26,50,10,1,6,24,3,1,18,31,1,2,1,1,4
Pena,Wily Mo,penawi01,24,2006,0.75,404,370,50,97,17,1,21,60,5,2,27,109,1,5,1,1,8
Perez,Eduardo,perezed01,37,2006,0.62,299,263,37,68,13,1,11,39,3,2,30,52,1,4,1,1,8
Perez,Miguel,perezmi02,23,2006,0.01,202,181,25,50,10,1,6,24,3,1,17,32,1,2,1,1,4
Polanco,Placido,polanpl01,31,2006,0.85,531,480,75,144,25,2,12,55,7,3,33,40,1,9,5,4,13
Ramirez,Hanley,ramirha01,23,2006,0.01,201,180,25,50,10,1,6,24,3,1,17,32,1,2,1,1,4
Roberts,Brian,roberbr01,29,2006,0.86,593,524,81,150,37,4,10,55,23,8,56,77,3,2,7,4,6
Rodriguez,John,rodrijo03,28,2006,0.42,288,251,31,71,12,1,8,36,4,1,27,57,4,4,3,3,4
Rogers,Eddie,rogered01,28,2006,0,200,179,28,49,10,1,6,25,3,3,17,32,1,2,1,1,4
Rowand,Aaron,rowanaa01,29,2006,0.83,573,520,78,147,31,3,17,67,13,4,32,97,2,13,5,3,11
Sanders,Reggie,sandere02,39,2006,0.81,413,376,55,98,20,2,20,59,14,3,30,92,3,4,1,2,8
Short,Rick,shortri01,34,2006,0.07,208,186,27,51,11,1,7,25,3,1,17,32,1,3,1,1,4
Snelling,Chris,snellch02,25,2006,0.13,218,193,27,53,11,1,6,23,3,3,20,31,1,2,2,1,4
Snow,J.T.,snowjt01,38,2006,0.8,447,389,52,108,23,2,9,51,3,1,46,68,1,7,2,3,7
Soriano,Alfonso,soriaal01,30,2006,0.87,607,563,83,155,33,3,27,82,22,4,32,108,4,8,0,4,7
Soto,Geovany,sotoge01,23,2006,0,200,179,25,49,10,1,6,24,3,1,17,31,1,2,1,1,4
Spilborghs,Ryan,spilbry01,27,2006,0.02,202,181,25,50,10,1,6,24,3,1,17,32,1,2,1,1,4
Stairs,Matt,stairma01,38,2006,0.82,483,422,54,112,24,2,16,64,2,1,51,82,3,5,1,4,12
Suzuki,Ichiro,suzukic01,33,2006,0.88,646,597,89,189,22,7,11,56,27,7,40,63,13,4,2,3,5
Sweeney,Mark,sweenma01,37,2006,0.68,355,305,41,82,18,2,11,50,4,1,42,75,3,2,1,5,7
Upton,B.J.,uptonbj01,22,2006,0.37,218,195,26,54,11,2,6,22,4,1,19,41,1,2,1,1,3
Vidro,Jose,vidrojo01,32,2006,0.82,420,372,48,106,23,1,10,46,2,1,41,43,4,2,2,3,12
White,Rondell,whitero02,34,2006,0.82,450,412,57,116,22,3,15,60,2,2,28,65,2,6,0,4,11
Williams,Glenn,willigl01,29,2006,0.15,222,200,25,58,10,1,5,24,3,3,17,36,1,2,2,1,4
Wilson,Preston,wilsopr01,32,2006,0.83,510,462,64,122,27,1,21,81,7,5,40,114,1,5,1,2,17
Winn,Randy,winnra01,32,2006,0.87,612,552,77,160,35,5,14,64,17,7,43,89,2,6,7,4,11
Youkilis,Kevin,youkike01,27,2006,0.55,272,235,36,63,14,1,7,33,2,2,30,47,1,4,1,2,3
Young,Dmitri,youngdm01,33,2006,0.84,497,450,64,123,25,3,19,65,2,1,36,93,7,8,0,3,13
Allen,Luke,allenlu01,28,2006,0,200,179,24,48,10,1,6,23,3,1,17,32,1,2,1,1,5
Anderson,Garret,anderga01,34,2006,0.85,549,516,63,149,30,2,17,83,3,2,28,79,6,1,0,4,10
Atkins,Garrett,atkinga01,27,2006,0.73,490,442,55,124,26,1,11,70,2,2,39,66,1,4,1,4,13
Baker,Jeff,bakerje03,25,2006,0.15,222,198,28,53,13,1,6,26,3,1,20,39,1,2,1,1,5
Baldelli,Rocco,baldero01,25,2006,0.78,256,236,34,68,13,2,6,31,8,2,14,42,1,3,1,2,5
Barmes,Clint,barmecl01,27,2006,0.65,396,362,56,103,20,2,10,48,5,3,22,50,1,6,4,2,6
Barrett,Michael,barremi01,30,2006,0.81,489,438,53,118,29,4,15,60,2,3,37,66,4,6,3,5,10
Belliard,Ron,belliro01,31,2006,0.86,560,507,68,141,35,1,12,63,4,2,43,78,2,2,4,4,14
Betemit,Wilson,betemwi01,25,2006,0.57,342,307,42,88,15,3,7,32,3,3,28,64,4,1,3,3,6
Botts,Jason,bottsja01,26,2006,0.11,215,192,27,53,9,1,5,25,3,1,19,40,1,2,1,1,5
Brazell,Craig,brazecr01,26,2006,0.1,204,184,25,50,10,1,6,23,3,1,16,33,1,2,1,1,4
Broussard,Ben,brousbe01,30,2006,0.83,501,450,59,117,28,4,17,69,4,2,40,92,4,7,1,3,7
Burnitz,Jeromy,burnije01,37,2006,0.86,596,540,76,138,27,2,26,84,5,4,48,112,5,4,1,3,9
Cabrera,Melky,cabreme01,22,2006,0.07,210,189,26,52,10,1,6,24,3,1,17,31,1,2,1,1,4
Cameron,Mike,camermi01,33,2006,0.83,428,380,54,95,23,2,16,51,13,3,40,98,1,5,1,2,7
Castillo,Luis,castilu01,31,2006,0.86,527,458,71,134,14,4,5,36,13,7,55,50,1,2,10,2,10
Castro,Bernie,castrbe01,27,2006,0.27,244,218,33,60,11,2,5,26,7,3,22,35,1,2,1,1,4
Chapman,Travis,chapmtr01,28,2006,0,200,179,25,48,10,1,6,23,3,1,17,32,1,2,1,1,4
Chavez,Angel,chavean02,25,2006,0.08,210,188,25,52,10,1,6,24,3,1,17,33,1,2,2,1,4
Choo,Shin-Soo,choosh01,24,2006,0.08,210,187,25,49,10,1,6,24,3,1,19,33,1,2,1,1,4
Church,Ryan,churcry01,28,2006,0.6,358,319,45,86,17,3,10,45,4,2,30,72,1,4,2,3,8
Clark,Brady,clarkbr02,33,2006,0.84,579,511,68,145,27,1,11,55,13,9,47,62,2,13,4,4,13
Cortez,Fernando,cortefe01,25,2006,0.06,207,185,24,49,10,1,6,24,3,1,18,33,1,2,1,1,4
Crawford,Carl,crawfca02,25,2006,0.87,611,570,87,170,26,12,11,61,44,9,30,79,2,3,3,5,7
Crisp,Coco,crispco01,27,2006,0.85,582,529,77,155,30,4,13,62,16,8,39,74,2,1,9,4,8
Crosby,Bobby,crosbbo01,26,2006,0.79,448,396,61,103,26,2,13,47,4,1,41,81,1,5,3,3,13
Crozier,Eric,crozier01,28,2006,0.12,204,181,25,47,10,1,6,23,3,1,19,40,1,2,1,1,4
Cruz,Jose,cruzjo02,32,2006,0.85,482,414,57,102,22,3,16,54,5,4,61,94,4,1,2,4,9
Cuddyer,Mike,cuddymi01,27,2006,0.78,473,424,58,113,24,3,13,48,5,4,42,86,3,3,2,2,15
Cummings,Midre,cummimi01,35,2006,0.17,207,185,26,49,10,1,6,23,3,1,17,35,1,3,1,1,4
Davanon,Jeff,davanje02,33,2006,0.76,369,317,49,83,15,2,8,34,14,5,43,59,1,2,3,4,6
Dawkins,Travis,dawkitr01,27,2006,0.01,200,179,25,48,10,1,6,23,3,1,17,32,1,2,1,1,4
Doumit,Ryan,doumiry01,25,2006,0.52,328,293,37,79,17,1,9,43,4,2,21,56,2,10,2,2,7
Duncan,Chris,duncach01,25,2006,0.04,205,184,26,50,11,1,6,26,3,1,17,35,1,2,1,1,5
Eldred,Brad,eldrebr01,26,2006,0.46,304,273,36,69,14,1,13,38,3,2,23,77,1,4,1,3,7
Encarnacion,Edwin,encared01,23,2006,0.49,317,283,38,74,19,1,11,41,4,1,28,63,3,4,1,1,8
Figgins,Chone,figgich01,28,2006,0.85,624,560,87,163,23,10,7,57,39,12,51,90,1,1,8,4,8
Fiorentino,Jeff,fioreje01,23,2006,0.16,224,201,29,55,11,1,6,27,4,1,18,36,1,2,1,2,4
Freel,Ryan,freelry01,30,2006,0.81,475,412,65,112,20,4,6,30,29,8,49,67,1,8,5,1,8
Fullmer,Brad,fullmbr01,31,2006,0.61,229,204,30,53,12,1,7,27,3,2,21,30,2,2,1,1,5
Furcal,Rafael,furcara01,29,2006,0.87,608,546,93,154,27,7,12,54,28,6,52,71,3,2,4,4,8
Gall,John,galljo01,28,2006,0.14,220,198,27,54,12,1,7,30,3,1,17,36,1,2,1,2,4
Garabito,Eddy,garabed01,30,2006,0.3,251,223,32,62,12,1,6,26,5,3,20,37,1,4,3,1,5
Garcia,Danny,garcida03,26,2006,0.42,217,186,27,48,10,1,5,24,3,1,20,37,2,6,3,2,4
Gibbons,Jay,gibboja01,29,2006,0.84,497,458,59,123,27,2,18,68,1,1,33,67,4,2,1,3,12
Gload,Ross,gloadro01,30,2006,0.51,248,224,27,63,13,1,6,34,2,2,19,38,1,2,1,2,8
Godwin,Tyrell,godwity01,27,2006,0.01,202,181,25,48,10,1,6,23,3,1,17,32,1,2,1,1,4
Gonzalez,Juan,gonzaju03,37,2006,0.57,214,197,27,54,9,1,9,31,1,1,13,38,1,2,1,1,5
Gonzalez,Luis A.,gonzalu02,27,2006,0.75,456,414,54,120,24,1,12,49,3,4,25,72,1,6,8,3,8
Griffin,John-Ford,griffjo01,27,2006,0.05,206,186,27,51,11,1,6,28,3,1,16,34,1,2,1,1,4
Hall,Bill,hallbi03,27,2006,0.8,514,473,62,129,31,5,14,61,14,6,33,105,2,2,3,3,10
Hart,Corey,hartco01,24,2006,0.21,232,208,30,54,11,2,7,27,4,1,20,37,1,2,1,1,8
Hawpe,Brad,hawpebr01,27,2006,0.65,387,340,44,90,14,3,10,47,4,2,41,75,4,2,1,3,7
Helms,Wes,helmswe01,30,2006,0.76,325,291,32,78,16,1,9,37,1,1,25,64,1,5,1,3,9
Henson,Drew,hensodr01,26,2006,0.02,200,179,25,48,10,1,6,23,3,1,17,32,1,2,1,1,4
Hernandez,Michel,hernami01,28,2006,0.01,200,179,24,48,10,1,6,23,3,1,17,32,1,2,1,1,4
Hernandez,Ramon,hernara02,30,2006,0.82,439,400,48,111,21,1,15,61,2,0,28,54,1,5,2,4,14
Hidalgo,Richard,hidalri01,31,2006,0.83,427,385,54,98,22,2,18,57,4,3,34,85,4,5,0,3,11
Hill,Aaron,hillaa01,24,2006,0.63,404,357,50,101,24,3,6,44,3,1,35,48,1,5,3,4,6
Hillenbrand,Shea,hillesh02,31,2006,0.86,583,538,71,156,33,2,16,78,4,1,27,68,2,13,0,5,19
Ibanez,Raul,ibanera01,34,2006,0.86,597,539,77,152,30,2,16,73,6,3,49,84,5,3,1,5,11
Iguchi,Tadahito,iguchta01,32,2006,0.71,490,433,61,118,22,4,13,59,11,4,40,92,1,5,7,5,13
Jackson,Conor,jacksco01,24,2006,0.29,250,220,28,57,11,1,7,27,3,1,24,35,1,3,1,2,8
Johnson,Ben,johnsbe02,25,2006,0.27,244,214,30,56,15,2,7,31,3,2,24,45,2,2,2,2,7
Johnson,Gary,johnsga01,31,2006,0.02,200,179,24,48,10,1,5,23,3,2,17,32,1,2,1,1,4
Johnson,Kelly,johnske05,24,2006,0.58,367,321,50,84,16,3,10,45,4,2,40,70,2,2,2,2,10
Jorgensen,Ryan,jorgery01,27,2006,0.02,202,181,25,48,10,1,6,23,3,1,17,34,1,2,1,1,4
Kelly,Kenny,kellyke01,27,2006,0.06,207,186,28,51,10,1,5,25,4,3,17,36,1,2,1,1,4
Kendall,Jason,kendaja01,32,2006,0.87,604,535,70,157,27,1,4,50,8,5,47,44,2,17,1,4,16
Keppinger,Jeff,keppije01,26,2006,0.29,212,191,23,54,8,1,6,22,3,1,16,27,1,2,1,2,6
Knoedler,Justin,knoedju01,26,2006,0.05,206,184,24,49,10,1,6,23,3,1,17,32,1,3,1,1,4
Koskie,Corey,koskico01,33,2006,0.83,451,394,57,102,22,1,15,52,7,3,47,92,5,6,0,4,8
Kotchman,Casey,kotchca01,23,2006,0.51,284,254,31,69,13,1,8,37,4,1,24,37,2,3,1,2,6
Kotsay,Mark,kotsama01,31,2006,0.86,582,529,68,150,31,2,12,60,6,4,45,65,3,2,3,3,10
LaRoche,Adam,larocad01,27,2006,0.77,487,440,56,118,29,1,17,67,2,2,38,87,4,3,2,4,13
Lawton,Matt,lawtoma02,35,2006,0.85,560,490,73,126,25,1,15,56,16,7,58,73,1,9,0,3,13
